"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://wealthsimplebonus.ca/","1","Get a $25 cash bonus when you sign up for Wealthsimple and deposit $1+. Earn up to $5,000 in referral bonuses. Your trusted resource for Wealthsimple referral codes and investing tips.","184","1148","Indexable",""
"https://wealthsimplebonus.ca/terms","1","Get a $25 cash bonus when you sign up for Wealthsimple and deposit $1+. Earn up to $5,000 in referral bonuses. Your trusted resource for Wealthsimple referral codes and investing tips.","184","1148","Indexable",""
"https://wealthsimplebonus.ca/fr","1","Obtenez une prime de 25 $ en vous inscrivant à Wealthsimple et en déposant 1 $+. Gagnez jusqu'à 5 000 $ en primes de parrainage. Votre ressource de confiance pour les codes de parrainage Wealthsimple.","200","1277","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","1","Get the latest Wealthsimple referral code for 2026 and earn a $25 cash bonus. Learn about the referral ladder, existing client options, and how to maximize your rewards.","169","1043","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","1","Compare Wealthsimple Crypto, Newton, and Shakepay for Canadian investors. We analyze fees, spreads, staking rewards, and which platform is best for you in 2026.","160","1019","Indexable",""
"https://wealthsimplebonus.ca/privacy","1","Get a $25 cash bonus when you sign up for Wealthsimple and deposit $1+. Earn up to $5,000 in referral bonuses. Your trusted resource for Wealthsimple referral codes and investing tips.","184","1148","Indexable",""
"https://wealthsimplebonus.ca/blog/add-referral-code-after-signup","1","Forgot to enter a Wealthsimple referral code during signup? Learn exactly how to add one retroactively, including the 7-day window and step-by-step instructions.","161","993","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-cash-account-review","1","A complete review of the Wealthsimple Cash account in 2026. Learn about current interest rates, the prepaid Mastercard, foreign transaction fees, and CDIC coverage.","164","1027","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","1","Comparez Wealthsimple Crypto, Newton et Shakepay pour les investisseurs canadiens. Nous analysons les frais, les écarts, les récompenses de jalonnement, et quelle plateforme est la meilleure pour vous en 2026.","209","1322","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","1","Obtenez le dernier code de parrainage Wealthsimple pour 2026 et gagnez une prime de 25 $ en argent. Apprenez-en sur l'échelle de parrainage, les options pour les clients existants, et comment maximiser vos récompenses.","218","1382","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","1","Comprenez les petits caractères du programme de parrainage Wealthsimple. Découvrez les exigences d'admissibilité, les dépôts minimums, les périodes de conservation et les implications fiscales.","193","1225","Indexable",""
"https://wealthsimplebonus.ca/fr/confidentialite","1","Get a $25 cash bonus when you sign up for Wealthsimple and deposit $1+. Earn up to $5,000 in referral bonuses. Your trusted resource for Wealthsimple referral codes and investing tips.","184","1148","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","1","Vous avez oublié d'entrer un code de parrainage lors de l'inscription à Wealthsimple ? Apprenez exactement comment en ajouter un rétroactivement, incluant la fenêtre de 7 jours et les instructions étape par étape.","213","1314","Indexable",""
"https://wealthsimplebonus.ca/fr/comment-ca-fonctionne","1","Apprenez comment réclamer votre prime de parrainage Wealthsimple de 25 $. Guide étape par étape pour vous inscrire et déposer pour recevoir votre prime en argent.","162","1034","Indexable",""
"https://wealthsimplebonus.ca/fr/conditions","1","Get a $25 cash bonus when you sign up for Wealthsimple and deposit $1+. Earn up to $5,000 in referral bonuses. Your trusted resource for Wealthsimple referral codes and investing tips.","184","1148","Indexable",""
"https://wealthsimplebonus.ca/fr/a-propos","1","Votre ressource de confiance pour les primes de parrainage Wealthsimple et les conseils d'investissement pour aider les Canadiens à faire fructifier leur patrimoine.","165","1014","Indexable",""
"https://wealthsimplebonus.ca/fr/contact","1","Des questions sur les primes de parrainage Wealthsimple? Obtenez des réponses sur la prime d'inscription de 25 $ et comment commencer à investir avec Wealthsimple.","163","1051","Indexable",""
"https://wealthsimplebonus.ca/fr/etiquette/echelle-de-parrainage-wealthsimple","1","Parcourez tous les articles avec l'étiquette échelle de parrainage wealthsimple. Trouvez des guides Wealthsimple, des conseils d'investissement et plus encore.","159","988","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/code-promo-vs-code-parrainage","1","Confus entre les codes promo et les codes de parrainage Wealthsimple ? Apprenez les différences clés, lequel est meilleur pour vous, et si vous pouvez les cumuler.","163","1017","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/defi-echelle-parrainage","1","Découvrez comment fonctionne le défi de l'échelle de parrainage Wealthsimple et comment gagner jusqu'à 5 000 $ en primes en argent lors du transfert de grands portefeuilles.","173","1092","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/core-vs-premium-vs-generation","1","Comparez les paliers clients Wealthsimple : Core, Premium et Génération. Apprenez-en sur les structures de frais, les avantages exclusifs, et quel palier convient à votre portefeuille.","184","1115","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","1","Une comparaison détaillée de Wealthsimple et Questrade pour les investisseurs canadiens. Comparez les frais, les fonctionnalités, et découvrez quelle plateforme convient à votre style d'investissement.","201","1250","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/evaluation-compte-wealthsimple-comptant","1","Une évaluation complète du compte Wealthsimple Cash en 2026. Apprenez-en sur les taux d'intérêt actuels, la carte Mastercard prépayée, les frais de transaction étrangère et la couverture SADC.","192","1202","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/evaluation-wealthsimple-impot-2025","1","Une évaluation complète de Wealthsimple Impôt pour 2026. Apprenez-en sur les fonctionnalités, les limitations, et comment il s'intègre avec vos investissements pour une production d'impôts sans tracas.","201","1263","Indexable",""
